FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
09/07/1925,  0,  Nulo  ,  22 , 7.5 ,
10/07/1925,  0,  Nulo ,23.5 ,  10 ,
11/07/1925,  0,  Nulo ,23.5 ,  10 ,
12/07/1925,  16  ,  Nulo  ,  23 , 8.8 ,
13/07/1925,  5,  Nulo  ,  21 , 9.2 ,
14/07/1925,  0,  Nulo  ,  22.5  , 8.5 ,
15/07/1925,  0,  Nulo ,20,  10 ,
16/07/1925,  0,  Nulo, 23  ,9 ,
17/07/1925,  23  ,  Nulo  ,  22.2  , 8.5 ,
18/07/1925,  0,  Nulo ,20.5 ,  13 ,
19/07/1925,  0,  Nulo  ,  20.5  , 8.5 ,
20/07/1925,  0,  Nulo, 20.5,7 ,
21/07/1925,  0,  Nulo, 22.5,10.5 ,
22/07/1925,  0,  Nulo ,23,  11 ,
23/07/1925,  0,  Nulo ,22.5 ,  10 ,
24/07/1925,  0,  Nulo  ,  22 , 7.5 ,
25/07/1925,  0,  Nulo, 22.5,8 ,
26/07/1925,  0,  Nulo  ,  23 , 7.5 ,
27/07/1925,  0,  Nulo  ,  22 , 8.5 ,
28/07/1925,  0,  Nulo  ,  22 , 9.5 ,
29/07/1925,  0,  Nulo ,23.5 ,  10 ,
30/07/1925,  0,  Nulo ,24,  11 ,
31/07/1925,  10.2,  Nulo ,24.5 ,  11 ,
01/08/1925,  0,  Nulo ,24,  12 ,
02/08/1925,  14  ,  Nulo, 24  ,11.5 ,
03/08/1925,  1.5 ,  Nulo, 24.5,12.5 ,
04/08/1925,  7.5 ,  Nulo  ,  22 , 8.5 ,
05/08/1925,  0,  Nulo, 22  ,9 ,
06/08/1925,  0,  Nulo  ,  20.5  , 8.5 ,
07/08/1925,  0,  Nulo, 21  ,10.5 ,
08/08/1925,  0,  Nulo, 21.5,10.5 ,
09/08/1925,  0,  Nulo ,23,  10 ,
10/08/1925,  0,  Nulo ,23.8 ,  11 ,
11/08/1925,  0,  Nulo, 20.5,9 ,
12/08/1925,  11.5,  Nulo, 21  ,8 ,
13/08/1925,  32.1,  Nulo  ,  20.5  , 8.5 ,
14/08/1925,  0,  Nulo, 22.5,9 ,
15/08/1925,  0,  Nulo, 21  ,12.5 ,
16/08/1925,  0,  Nulo  ,  22.5  , 7.5 ,
17/08/1925,  0,  Nulo, 22  ,7 ,
18/08/1925,  21.2,  Nulo  ,  21.5  , 7.5 ,
19/08/1925,  12  ,  Nulo, 22.5,7 ,
20/08/1925,  7.5 ,  Nulo, 22.5,9 ,
21/08/1925,  13.7,  Nulo  ,  21 , 8.5 ,
22/08/1925,  3.7 ,  Nulo, 22  ,9 ,
23/08/1925,  8.7 ,  Nulo  ,  22.5  , 9.5 ,
24/08/1925,  20  ,  Nulo, 22  ,9 ,
25/08/1925,  30  ,  Nulo  ,  20.5  , 8.5 ,
26/08/1925,  0,  Nulo, 21.5,7 ,
27/08/1925,  0,  Nulo, 21  ,7 ,
28/08/1925,  12.5,  Nulo  ,  19.6  , 7.5 ,
29/08/1925,  13  ,  Nulo  ,  29.5  , 6.5 ,
30/08/1925,  0,  Nulo, 29  ,7 ,
31/08/1925,  0,  Nulo, 19  ,9 ,
01/09/1925,  0,  Nulo  ,  19.5  , 8.5 ,
02/09/1925,  5.7 ,  Nulo ,22,  10 ,
03/09/1925,  0,  Nulo ,22,  10 ,
04/09/1925,  0,  Nulo ,21,  10 ,
05/09/1925,  25.7,  Nulo ,21,  11 ,
06/09/1925,  14.5,  Nulo ,22,  10 ,
07/09/1925,  4.2 ,  Nulo ,22.5 ,  10 ,
08/09/1925,  13.7,  Nulo ,20,  10 ,
09/09/1925,  0,  Nulo, 21.8,10.5 ,
10/09/1925,  13.7,  Nulo  ,  20.5  , 8.5 ,
11/09/1925,  20  ,  Nulo ,21,  10 ,
12/09/1925,  18.7,  Nulo ,20.5 ,  13 ,
13/09/1925,  25  ,  Nulo, 20  ,10.5 ,
14/09/1925,  21.2,  Nulo ,21,  11 ,
15/09/1925,  20  ,  Nulo  ,  21.5  , 8.5 ,
16/09/1925,  16.5,  Nulo, 21.5,9 ,
